"year","pinks","pinks_1","pinks_2","pinks_3","pinks_4","NPGO","NPGO_1","NPGO_2","NPGO_3","NPGO_4","SST","SST_1","SST_2","SST_3","SST_4","SST_cst","SST_cst_1","SST_cst_2","SST_cst_3","SST_cst_4","av_CFS_min","av_CFS_max","av_CFS_min_1","av_CFS_max_1"
2005,594.47,344.03,548.77,328.17,657.16,-1.4691,-0.55,0.5795,1.4929,0.6406,11.1145,12.0758,11.4494,12.6177,11.7587,14.9,14.23,14.59,12.85,13.74,-0.7706,-0.3327,-0.6672,1.041
2006,344.03,548.77,328.17,657.16,407.21,-0.55,0.5795,1.4929,0.6406,1.2896,12.0758,11.4494,12.6177,11.7587,11.0357,14.23,14.59,12.85,13.74,13.63,-0.6672,1.041,0.2904,1.3181
2007,548.77,328.17,657.16,407.21,653.76,0.5795,1.4929,0.6406,1.2896,0.7896,11.4494,12.6177,11.7587,11.0357,12.1886,14.59,12.85,13.74,13.63,14.46,0.2904,1.3181,1.2835,1.3032
2008,328.17,657.16,407.21,653.76,435.57,1.4929,0.6406,1.2896,0.7896,1.4227,12.6177,11.7587,11.0357,12.1886,12.0846,12.85,13.74,13.63,14.46,14.15,1.2835,1.3032,-0.4549,-0.0731
2009,657.16,407.21,653.76,435.57,577.82,0.6406,1.2896,0.7896,1.4227,0.3632,11.7587,11.0357,12.1886,12.0846,12.2888,13.74,13.63,14.46,14.15,14.83,-0.4549,-0.0731,0.554,0.4179
2010,407.21,653.76,435.57,577.82,355.85,1.2896,0.7896,1.4227,0.3632,-0.1964,11.0357,12.1886,12.0846,12.2888,11.9932,13.63,14.46,14.15,14.83,14.67,0.554,0.4179,0.79,-1.1787
2011,653.76,435.57,577.82,355.85,549.42,0.7896,1.4227,0.3632,-0.1964,-1.3808,12.1886,12.0846,12.2888,11.9932,11.0268,14.46,14.15,14.83,14.67,15.52,0.79,-1.1787,-0.4762,-1.1031
2012,435.57,577.82,355.85,549.42,432,1.4227,0.3632,-0.1964,-1.3808,-0.1604,12.0846,12.2888,11.9932,11.0268,11.8275,14.15,14.83,14.67,15.52,14.9,-0.4762,-1.1031,0.9893,-0.8101
2013,577.82,355.85,549.42,432,513,0.3632,-0.1964,-1.3808,-0.1604,-0.8592,12.2888,11.9932,11.0268,11.8275,11.5929,14.83,14.67,15.52,14.9,14.59,0.9893,-0.8101,-0.5757,-0.3044
2014,355.85,549.42,432,513,701,-0.1964,-1.3808,-0.1604,-0.8592,-1.9643,11.9932,11.0268,11.8275,11.5929,11.7362,14.67,15.52,14.9,14.59,15.1,-0.5757,-0.3044,-0.9889,0.3947
2015,549.42,432,513,701,639,-1.3808,-0.1604,-0.8592,-1.9643,-2.2791,11.0268,11.8275,11.5929,11.7362,11.6391,15.52,14.9,14.59,15.1,15.23,-0.9889,0.3947,-0.6653,-0.7725
2016,432,513,701,639,315,-0.1604,-0.8592,-1.9643,-2.2791,-1.8429,11.8275,11.5929,11.7362,11.6391,11.9944,14.9,14.59,15.1,15.23,14.72,-0.6653,-0.7725,-0.7926,0.1145
2017,513,701,639,315,730,-0.8592,-1.9643,-2.2791,-1.8429,-0.9126,11.5929,11.7362,11.6391,11.9944,12.1877,14.59,15.1,15.23,14.72,14.86,-0.7926,0.1145,-1.1903,-0.4469
2018,701,639,315,730,NA,-1.9643,-2.2791,-1.8429,-0.9126,-1.3055,11.7362,11.6391,11.9944,12.1877,13.2287,15.1,15.23,14.72,14.86,NA,-1.1903,-0.4469,-0.4258,0.2578
2019,639,315,730,NA,NA,-2.2791,-1.8429,-0.9126,-1.3055,NA,11.6391,11.9944,12.1877,13.2287,NA,15.23,14.72,14.86,NA,NA,-0.4258,0.2578,0.1069,-0.5273
2020,315,730,NA,NA,NA,-1.8429,-0.9126,-1.3055,NA,NA,11.9944,12.1877,13.2287,NA,NA,14.72,14.86,NA,NA,NA,0.1069,-0.5273,-1.0854,1.1304
2021,730,NA,NA,NA,NA,-0.9126,-1.3055,NA,NA,NA,12.1877,13.2287,NA,NA,NA,14.86,NA,NA,NA,NA,-1.0854,1.1304,-1.3298,-0.8206
2022,NA,NA,NA,NA,NA,-1.3055,NA,NA,NA,NA,13.2287,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.3298,-0.8206,NA,NA
