age_lut_id,age_code,age_txt,fw_annuli_txt,maiden_sw_annuli_txt,total_sw_annuli,sy_total_age,prior_spawning_count,date_added,verified
51,'2.4                                                                                                                                                                                                                                                            ,24,2,4,4,7,0,2017-06-26 14:55:23+00,TRUE
52,'2/1                                                                                                                                                                                                                                                            ,21,0,1,1,2,NULL,2017-06-26 14:55:23+00,TRUE
53,'2/2                                                                                                                                                                                                                                                            ,22,1,0,0,2,NULL,2017-06-26 14:55:23+00,TRUE
55,'3                                                                                                                                                                                                                                                              ,3,0,2,2,3,NULL,2017-06-26 14:55:23+00,TRUE
56,'3.+                                                                                                                                                                                                                                                            ,3+,3,0,0,4,0,2017-06-26 14:55:23+00,TRUE
57,'3.+F+                                                                                                                                                                                                                                                          ,3+F+,3,1,1,5,0,2017-06-26 14:55:23+00,TRUE
58,'3.+F+F+                                                                                                                                                                                                                                                        ,3+F+F+,3,2,2,6,0,2017-06-26 14:55:23+00,TRUE
59,'3.+F+F+F+                                                                                                                                                                                                                                                      ,3+F+F+F+,3,3,3,7,0,2017-06-26 14:55:23+00,TRUE
60,'3.+F+F+F+F+                                                                                                                                                                                                                                                    ,2+F+F+F+F+,3,4,4,8,0,2017-06-26 14:55:23+00,TRUE
61,'3.+F+F+S+                                                                                                                                                                                                                                                      ,3+F+F+S+,3,2,2,7,1,2017-06-26 14:55:23+00,TRUE
62,'3.+F+F+S+S+                                                                                                                                                                                                                                                    ,3+F+F+S+S+,3,2,2,8,2,2017-06-26 14:55:23+00,TRUE
63,'3.+F+S+                                                                                                                                                                                                                                                        ,3+F+S+,3,1,1,6,1,2017-06-26 14:55:23+00,TRUE
64,'3.+F+S+S+                                                                                                                                                                                                                                                      ,3+F+S+S+,3,1,1,7,2,2017-06-26 14:55:23+00,TRUE
65,'3.+S+                                                                                                                                                                                                                                                          ,3+S+,3,0,0,5,1,2017-06-26 14:55:23+00,TRUE
66,'3.+S+S+                                                                                                                                                                                                                                                        ,3+S+S+,3,0,0,6,2,2017-06-26 14:55:23+00,TRUE
67,'3.+S+S+S+                                                                                                                                                                                                                                                      ,3+S+S+S+,3,0,0,7,3,2017-06-26 14:55:23+00,TRUE
68,'3.1                                                                                                                                                                                                                                                            ,31,3,1,1,5,0,2017-06-26 14:55:23+00,TRUE
69,'3.1+                                                                                                                                                                                                                                                           ,31+,3,1,1,5,0,2017-06-26 14:55:23+00,TRUE
70,'3.1+S+                                                                                                                                                                                                                                                         ,31+S+,3,1,1,6,1,2017-06-26 14:55:23+00,TRUE
71,'3.1+S+S+                                                                                                                                                                                                                                                       ,31+S+S+,3,1,1,7,2,2017-06-26 14:55:23+00,TRUE
72,'3.1S                                                                                                                                                                                                                                                           ,31S,3,1,1,6,1,2017-06-26 14:55:23+00,TRUE
73,'3.1S1                                                                                                                                                                                                                                                          ,31S1,3,1,2,7,2,2017-06-26 14:55:23+00,TRUE
74,'3.2                                                                                                                                                                                                                                                            ,32,3,2,2,6,0,2017-06-26 14:55:23+00,TRUE
75,'3.2+                                                                                                                                                                                                                                                           ,32+,3,2,2,6,0,2017-06-26 14:55:23+00,TRUE
76,'3.2+S+                                                                                                                                                                                                                                                         ,32+S+,3,2,2,7,1,2017-06-26 14:55:23+00,TRUE
77,'3.2S                                                                                                                                                                                                                                                           ,32S,3,2,2,6,1,2017-06-26 14:55:23+00,TRUE
78,'3.3                                                                                                                                                                                                                                                            ,33,3,3,3,7,0,2017-06-26 14:55:23+00,TRUE
79,'3.3+                                                                                                                                                                                                                                                           ,33+,3,3,3,7,0,2017-06-26 14:55:23+00,TRUE
80,'3/1                                                                                                                                                                                                                                                            ,31,0,2,2,3,NULL,2017-06-26 14:55:23+00,TRUE
81,'3/2                                                                                                                                                                                                                                                            ,32,1,1,1,3,NULL,2017-06-26 14:55:23+00,TRUE
82,'3/3                                                                                                                                                                                                                                                            ,33,2,0,0,3,NULL,2017-06-26 14:55:23+00,TRUE
83,'4                                                                                                                                                                                                                                                              ,4,0,3,3,4,NULL,2017-06-26 14:55:23+00,TRUE
84,'4.+                                                                                                                                                                                                                                                            ,4+,4,0,0,5,0,2017-06-26 14:55:23+00,TRUE
85,'4.1+                                                                                                                                                                                                                                                           ,41+,4,1,1,6,0,2017-06-26 14:55:23+00,TRUE
86,'4.2+                                                                                                                                                                                                                                                           ,42+,4,2,2,7,0,2017-06-26 14:55:23+00,TRUE
87,'4/1                                                                                                                                                                                                                                                            ,41,0,3,3,4,NULL,2017-06-26 14:55:23+00,TRUE
88,'4/2                                                                                                                                                                                                                                                            ,42,1,2,2,4,NULL,2017-06-26 14:55:23+00,TRUE
89,'4/3                                                                                                                                                                                                                                                            ,43,2,1,1,4,NULL,2017-06-26 14:55:23+00,TRUE
