year,catch
1985,3270
1986,2618
1987,5892
1988,4399
1989,4045
1990,3382
1991,2952
1992,4560
1993,4139
1994,2045
1995,2023
1996,2683
1997,2551
1998,2591
1999,1628
2000,2216
2001,4177
2002,2820
2003,2475
2004,3474
2005,2933
2006,2351
2007,1701
2008,1516
2009,1823
2010,1705
2011,1356
2012,4025
2013,2413
2014,1984
2015,2857
2016,3346
2017,1383
2018,1106
2019,1603
2020,815
2021,342
2022,316
