year,escapement
1978,3295
1979,3328
1980,4940
1981,4784
1982,4042
1983,2488
1984,5774
1985,3380
1986,4998
1987,2991
1988,4266
1989,4340
1990,4514
1991,3464
1992,3384
1993,2713
1994,3054
1995,2698
1996,2459
1997,3648
1998,2398
1999,1896
2000,2606
2001,2802
2002,1773
2003,2033
2004,2128
2005,3744
2006,3379
2007,2702
2008,3256
2009,2148
2010,2837
2011,3237
2012,3124
2013,2499
2014,2196
2015,3573
2016,2307
2017,2756
2018,2824
2019,2787
2020,1365
2021,1873
2022,2478
